,OID,WATERBODY_CODE,Waterbody_LID,LOCNAME,lat,long,ID,SPECIES_NAME,SAMPLE_YEAR,SAMPLE_DATE,LENGTH_CM,WEIGHT_GRAM,SEX,VALUE,Waterbody_Name,LCOUPCORSM,COUPCORSM,TP,TPMAX,TEMPMEANYR,SA_ha
28,29382,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113132,Lake Trout,2010,16-Aug-10,48.1,965,M,0.3,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
29,29383,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113133,Lake Trout,2010,16-Aug-10,49.7,1003,F,0.29,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
30,29384,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113134,Lake Trout,2010,16-Aug-10,49.7,1030,F,0.39,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
31,29385,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113135,Lake Trout,2010,16-Aug-10,51.7,1048,M,1.2,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
32,29386,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113136,Lake Trout,2010,16-Aug-10,53,1188,M,0.99,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
33,29387,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113137,Lake Trout,2010,16-Aug-10,53.4,1499,M,0.39,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
34,29388,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113138,Lake Trout,2010,16-Aug-10,53.5,1176,F,0.4,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
35,29389,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113139,Lake Trout,2010,16-Aug-10,53.6,1400,F,0.39,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
36,29390,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113140,Lake Trout,2010,16-Aug-10,55,1943,M,0.39,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
37,29391,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113141,Lake Trout,2010,16-Aug-10,56.8,1558,F,1.8,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
38,29392,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113142,Lake Trout,2010,16-Aug-10,59.2,1918,M,0.44,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
39,29393,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113143,Lake Trout,2010,16-Aug-10,60.5,1789,F,0.78,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
40,29394,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113144,Lake Trout,2010,16-Aug-10,62.7,2027,M,1,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
41,29395,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113145,Lake Trout,2010,16-Aug-10,69.7,2639,F,2.7,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
42,29396,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113146,Lake Trout,2010,16-Aug-10,78.3,4500,F,2,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
43,29398,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113148,Lake Trout,2010,16-Aug-10,70.3,2690,F,1.3,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
44,29401,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113151,Lake Trout,2010,16-Aug-10,57.3,1949,M,0.81,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
45,29402,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113152,Lake Trout,2010,16-Aug-10,38.1,442,F,0.32,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
46,11360,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99050,Lake Trout,2008,25-Jul-08,46.3,780,M,0.58,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
47,11369,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99059,Lake Trout,2008,25-Jul-08,28.5,162,,0.25,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
48,11370,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99076,Lake Trout,2008,25-Jul-08,27,128,,0.27,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
49,11372,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99078,Lake Trout,2008,25-Jul-08,52.9,1274,F,0.42,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
50,11373,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99079,Lake Trout,2008,25-Jul-08,56.3,1323,M,0.61,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
51,11374,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99080,Lake Trout,2008,25-Jul-08,53,1078,M,0.34,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
52,11375,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99081,Lake Trout,2008,25-Jul-08,66.7,2690,F,0.95,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
53,11376,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99082,Lake Trout,2008,25-Jul-08,40.5,504,F,0.45,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
54,11377,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99083,Lake Trout,2008,25-Jul-08,54.6,1264,M,0.5,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
55,11378,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99084,Lake Trout,2008,25-Jul-08,69.1,2862,M,1.3,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
56,11379,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99085,Lake Trout,2008,25-Jul-08,26.8,132,,0.24,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
57,11380,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99086,Lake Trout,2008,25-Jul-08,70.8,3556,F,0.86,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
58,11381,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99087,Lake Trout,2008,25-Jul-08,70.4,2984,M,0.74,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
59,11382,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99088,Lake Trout,2008,25-Jul-08,60.1,1788,M,0.42,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
60,11383,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99089,Lake Trout,2008,25-Jul-08,41.7,582,,0.27,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
61,11384,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99090,Lake Trout,2008,25-Jul-08,54.5,1450,M,0.62,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
62,11385,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99091,Lake Trout,2008,25-Jul-08,39.8,468,F,0.41,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
63,11386,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99092,Lake Trout,2008,25-Jul-08,50.8,934,F,0.71,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
64,11387,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,99093,Lake Trout,2008,25-Jul-08,33.9,258,,0.4,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
65,11391,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,104044,Lake Trout,2009,10-Jul-09,23.9,96,,0.38,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
66,11392,45377751,18-2779-50548,Aylen Lake,45.61333333,-77.84833333,104045,Lake Trout,2009,10-Jul-09,35.1,298,,0.51,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
